,
Kod,Tanım
1429.0.20,Kuvarsit
1429.0.21,Nefelinsiyenit
1429.0.22,Pirofillit
1429.0.23,"Magnezya, manyezitten veya deniz suyu kaynaklarından"
1429.0.24,Sepiyolit
1429.0.25,Olivin
1511.1.01,Sığır etleri (taze veya soğutulmuş)
1511.1.02,Sığır etleri (dondurulmuş)
1511.1.03,Domuz etleri (taze veya soğutulmuş)
1511.1.04,Domuz etleri (dondurulmuş)
1511.1.05,Koyun etleri (taze veya soğutulmuş)
1511.1.06,Koyun etleri (dondurulmuş)
1511.1.07,Keçi etleri
1511.1.08,"At, eşek, bardo ve katır etleri"
1511.1.09,Yenilebilen sakatat
1511.1.10,Post yünleri
1511.1.11,Sığır ve at türü hayvanların ham derileri
1511.1.12,"Koyun, keçi ve kuzuların ham derileri"
1511.1.13,"Sığır, koyun, keçi, domuz ve kümes hayvanlarının yenilebilen yağları"
1511.1.14,"Yenilemeyen sakatat (kemik, boynuz, tırnak, yele, kıl)"
1511.2.01,Kümes hayvanları etleri ile yenilebilen sakatatı (taze veya soğutulmuş)
1511.2.02,Kümes hayvanları etleri ile yenilebilen sakatatı (dondurulmuş)
1511.2.03,Tavşan etleri dahil diğer yenilebilen etler ve sakatat (kurbağa bacağı hariç)
1511.2.04,Kuşların tüy ve derileri
1511.3.01,"Tuzlanmış, kurutulmuş, tütsülenmiş veya salamura yapılmış et ve sakatat; et ve sakatat unları"
1511.3.02,"Diğer işlenmiş veya saklanmış et, sakatat veya kanlar; et, balık ve suda yaşayan omurgasızların ekstreleri ve suları"
1511.3.03,"İnsan tüketimi için olmayan et unları, kaba unlar ve topaklar; kıkırdaklar (kemik unu, yonca unu dahil)"
1511.3.04,Et ürünlerinin üretimi için yapılan pişirme ve diğer hazırlık hizmetleri
1512.0.01,"Balık filetosu, diğer balık etleri, balık ciğeri ve yumurtası (taze veya soğutulmuş)"
1512.0.02,"Balık filetosu, diğer balık etleri, balık ciğeri ve yumurtası (dondurulmuş)"
1512.0.03,"Kurutulmuş, tuzlanmış, salamura edilmiş veya tütsülenmiş balık; yenilebilir balık unları"
1512.0.04,Başka şekillerde işlenmiş veya saklanmış balık; havyar
1512.0.05,"İstakoz (dondurulmuş); yumuşakçalar ve suda yaşayan diğer omurgasızlar (dondurulmuş, kurutulmuş, tuzlanmış veya salamura edilmiş)"
1512.0.06,"İşlenmiş veya saklanmış istakoz, yumuşakçalar ve suda yaşayan diğer omurgasızlar"
1512.0.07,"Balık, istakoz, yumuşakçalar ve suda yaşayan diğer omurgasızların yenilemeyen unları, kaba unları ve topakları"
1512.0.08,"Balık, istakoz, yumuşakçalar ve suda yaşayan diğer omurgasızların b.y.s. ürünleri"
1513.1.01,Patates (dondurulmuş)
1513.1.02,Saklanmış patates
1513.2.01,Sebze ve meyve suları
1513.3.01,Sebze (dondurulmuş)
1513.3.02,Geçici olarak işlem görmüş sebzeler
1513.3.03,Sebze (kurutulmuş)
1513.3.04,Sirke veya asetik asit harici maddeler kullanılarak işlem görmüş sebzeler
1513.3.05,Sirke veya asetik asit kullanılarak işlem görmüş sebzeler
1513.3.06,Meyve ve kabuklu yemişler (pişirilmiş veya çiğ) (dondurulmuş)
1513.3.07,Meyve reçelleri ve jöleleri; meyve ve kabuklu yemiş ezmeleri veya marmelatları
1513.3.08,"Fındık, fıstık veya yer fıstığı v.b. sert kabuklu yemişler; diğer çerezler (kavrulmuş, tuzlanmış veya bunların dışında bir yöntemle hazırlanmış)"
1513.3.09,"Meyve ve sert kabuklu yemişler (hemen tüketilmek için değil, geçici olarak saklanmış)"
1513.3.10,Diğer konserve meyveler
1513.3.11,"Kayısı, şeftali veya erik çekirdekleri ve içleri"
1513.3.12,Bitkisel döküntü ve artıklar
1513.3.13,Sebzelerin saklanması için kullanılan pişirme ve hazırlama hizmetleri
1514.1.01,"Büyükbaş, küçükbaş, toynaklı ve kümes hayvanları dışındaki hayvanların ham veya rafine edilmiş yağları"
1514.1.02,"Soya fasülyesi, yer fıstığı, ayçiçeği, zeytin, pamuk, kolza, rapiska, hardal, haşhaş yağı (ham)"
1514.1.03,"Palm, palm çekirdeği, hindistan cevizi, keten ve kenevir yağı (ham)"
1514.1.04,Linter pamuğu
1514.1.05,Bitkisel yağların imalinde ortaya çıkan küspe ve diğer katı artıklar
1514.1.06,Yağlı tohum veya meyvelerin unları
1514.2.01,"Soya fasülyesi, yer fıstığı, ayçiçeği, zeytin, pamuk, mısırözü, kolza, susam, hardal yağı (rafine edilmiş fakat kimyasal olarak değiştirilmemiş)"
1514.2.02,"Hurma, hurma çekirdeği, hindistan cevizi, keten ve kenevir yağı (rafine edilmiş fakat kimyasal olarak değiştirilmemiş); hintyağı, tung ve jojoba yağı, sabit bitkisel yağlar (mısır yağı hariç) ve bunların b.y.s. fraksiyonları"
1514.2.03,"Bitkisel ve hayvansal yağlar (hidrojene veya esterifiye edilmiş, fakat daha ileri bir işlem görmemiş)"
1514.2.04,Bitkisel mumlar (trigliseridler hariç); degra; yağlı maddeler ve bitkisel veya hayvansal mumların işlenmesinden meydana gelen artıklar
1514.3.01,Margarin ve benzeri müstahzarlar
1520.1.01,İşlenmiş sıvı süt
1520.1.02,"Süt ve krema (% 6'dan fazla yağ içeren, konsantre edilmemiş veya tatlandırılmamış)"
1520.1.03,Süt ve krema (katı formlarda) (süt tozu)
1520.1.04,Tereyağ
1520.1.05,Peynir ve lor
1520.1.06,Süt ve krema (konsantre edilmiş veya ilave şeker ya da katı olmayan diğer tatlandırıcı maddeleri içerenler)
1520.1.07,Yoğurt ve diğer fermente edilmiş veya asitlendirilmiş süt ve krema
1520.1.08,Kazein
1520.1.09,Laktoz ve laktoz şurubu
1520.1.10,Kesilmiş sütün suyu
1520.2.01,Dondurma ve yenilebilen buzlar
1531.0.01,Kavuzlu (kahverengi) pirinç
1531.0.02,Buğday unu veya mahlut unu
1531.0.03,B.y.s. diğer hububat unları
1531.0.04,Bitkisel un veya tozlar
1531.0.05,Ekmekçi ürünlerinin hazırlanmasında kullanılan karışımlar
1531.0.06,"Buğdaydan yapılan bulgur, irmik ve topaklar"
1531.0.07,"B.y.s. hububat bulgurları, irmikleri ve topaklar"
1531.0.08,Diğer hububat ürünleri (mısır gevreği dahil)
1531.0.09,Parlatılmış pirinç
1531.0.10,"Hububatın işlenmesinden elde edilen kepek, kavuz ve diğer artıklar"
1532.0.01,Mısır yağı ve fraksiyonları (kimyasal olarak değiştirilmemiş)
1532.0.02,Glikoz ve glikoz şurupları; meyva şekeri (früktoz) ve şurupları; tersine (invert) şeker; b.y.s. şeker ve şeker şurupları; suni bal; karamel
1532.0.03,Nişasta; inülin; buğday glüteni; dekstrinler ve diğer nişastalar
1532.0.04,"Tapyoka ve nişastadan hazırlanan benzeri ürünler (flakon, tane ve benzeri şekillerde)"
1532.0.05,Nişasta imalatından elde edilen artıklar
1533.1.01,Çiftlik hayvanları için hazır yemler
1533.1.02,Kabayonca unları ve topakları
1533.2.01,Ev hayvanları için hazır yemler
1541.1.01,Taze ekmek
1541.1.02,Taze fırın ürünleri ve kekler
1541.1.03,Tamamlanmamış fırıncılık ürünleri
1541.2.01,"Gevrek ekmek, peksimet, tost ekmeği ve benzeri ürünler"
1541.2.02,"Zencefilli ekmek v.b.; tatlı bisküviler; gofretler, kağıt helvası"
1541.2.03,Diğer ekmekler ve diğer fırıncılık ürünleri
1542.0.01,Şeker kamışı veya şeker pancarı (ham ve katı halde)
1542.0.02,"Rafine edilmiş şeker kamışı, şeker pancarı ve kimyaca saf sakkaroz (katı halde) (aroma veya renk verici katkı maddeleri içermeyen)"
1542.0.03,Şeker kamışı veya şeker pancarı (rafine edilmiş) (aroma veya renk verici katkı maddeleri içeren); akçaağaç şekeri ve şurubu
1542.0.04,Melas (şeker pekmezi)
1542.0.05,"Pancar küspesi, bagas (suyu çıkarılmış şeker kamışı posası) ve şeker imalatında ortaya çıkan diğer artıklar"
1543.0.01,Kakao hamuru
1543.0.02,Kakao yağları
1543.0.03,Kakao tozu (ilave şeker veya diğer tatlandırıcı maddeler içermeyenler)
1543.0.04,Kakao tozu (ilave şeker veya diğer tatlandırıcı maddeler içerenler)
1543.0.05,Çikolata; kakao içeren gıda müstahzarları (tatlandırılmış kakao tozu hariç) (dökme halde)
1543.0.06,Çikolata; kakao içeren gıda müstahzarları (tatlandırılmış kakao tozu hariç) (dökme halde olmayanlar)
1543.0.07,Kakao içermeyen şekerlemeler (beyaz çikolata dahil)
1543.0.08,"Meyvalar, kabuklu yemişler, meyve kabukları ve diğer bitki parçaları (şekerle konserve edilmiş)"
1543.0.09,"Kakao kabukları, iç kabukları, zarları ve diğer kakao artıkları"
1544.0.01,Pişirilmemiş makarna (doldurulmamış veya başka şekilde hazırlanmamış)
1544.0.02,Pişirilmiş makarna (doldurulmuş veya başka şekilde hazırlanmış); kuskus
1549.1.01,Kahve (kafeinsiz veya kavrulmuş)
1549.1.02,"Kahve yerine kullanılan maddeler; kahve ve kahve yerine kullanılan maddelerin ekstre, esans ve diğer konsantreleri"
1549.1.03,Yeşil çay (fermente edilmemiş); siyah çay (fermente edilmiş) ve kısmen fermente edilmiş çay (3 kg dan az paketlerde)
1549.1.04,"Çay ve Paraguay çayı (maté) ekstre, esans, konsantre ve müstahzarları"
1549.1.05,"Diğer bitki çayları (adaçayı, ıhlamur v.b.)"
1549.1.06,Kahve iç ve dış kabukları
1549.2.01,Sirke; asetik asitten elde edilen sirke yerine geçen maddeler
1549.2.02,Salça; baharat; hardal unu ve irmiği; hazır hardal
1549.2.03,Baharat (işlenmiş)
1549.3.01,"Hazır, homojenize gıda maddeleri ile diet yiyecekleri"
1549.4.01,"Çorbalar, et suları ve müstahzarları"
1549.4.02,Kabuksuz yumurtalar ve yumurta sarısı (taze veya konserve); yumurta albümini
1549.4.03,Mayalar (canlı veya cansız); diğer tek hücreli cansız mikro-organizmalar; hazır kabartma tozları
1549.4.04,B.y.s. diğer gıda ürünleri
1549.4.05,"Bitki özleri ve hülasalar, peptik maddeler, yapışkan sıvılar ve koyulaştırıcı maddeler"
1551.1.01,"İspirto, likör ve diğer ispirtolu içecekler; içki imalatında kullanılan alkollü, bileşik müstahzarlar"
1551.2.01,"Etil alkol (denature edilmemiş, alkol derecesi % 80 veya daha fazla)"
1551.2.02,Etil alkol ve diğer denature edilmiş ispirtolar
1552.1.01,Köpüklü şarap
1552.1.02,Taze üzümden şarap (köpüklü şarap hariç); üzüm şırası
1552.1.03,Şarap tortusu; argol
1552.2.01,"Diğer fermente edilmiş içecekler (örneğin; elma şarabı, bal likörü, armut şarabı) ve alkol içeren karışık içecekler"
1552.3.01,Vermut; taze üzümden yapılan diğer aromalı şaraplar
1552.3.02,Boza
1553.1.01,Bira
1553.1.02,Bira ve damıtma posaları
1553.2.01,Malt
1554.0.01,Maden suyu ve havalandırılmış su (aromalandırılmamış ve tatlandırılmamış)
1554.0.02,Diğer alkolsüz içeceklerin imalatı
1600.0.01,"Tütün veya tütün yerine geçen maddelerden yapılmış sigara, puro (sigar), sigarillo"
1600.0.02,Tütün veya tütün yerine geçen maddelerden yapılmış diğer ürünler; homojenize edilmiş tütün; tütün özü ve ekstreleri
1600.0.03,Tütün döküntü
1711.1.01,Yün (yapağı) yağı (lanolin dahil)
1711.1.02,İplik için hazırlanan doğal tekstil elyafı
1711.1.03,İplik yapımı için işlenmiş suni veya sentetik dokuma filamanı
1711.1.04,İpek ipliği (perakende ticaret için olmayan)
1711.1.05,Yün ipliği (perakende ticaret için olmayan)
1711.1.06,Pamuk ipliği (perakende ticaret için olmayan)
1711.1.07,Keten ipliği
1711.1.08,Dikiş iplikleri; perakende satışa hazır olmayan diğer iplikler
1711.1.09,"Jüt ipliği, ıhlamur kabuğu lifinden, diğer bitkisel liflerden, kağıt elyafı ipleri"
1711.1.10,Sentetik veya suni ince iplik (perakende satış için olmayan)
1711.1.11,Poliamidli (ağırlıkça % 85 den çok poliamid içeren)ince iplik (perakende satış için olmayan)
1711.1.12,Yün ile karışık poliamidli ince iplik (perakende satış için olmayan)
1711.1.13,Suni poliamidli ince iplik (perakende satış için olmayan)
1711.1.14,"Dikiş ipliği, suni iplik, sentetik filament"
1711.1.15,İpek döküntüleri (taranmamış-çırçırlanmamış)
1711.1.16,"Yün döküntüleri, ince veya kaba hayvan kılı"
1711.1.17,"Yün, ince veya kaba hayvan kılı (taraklanmış)"
1711.1.18,Pamuk döküntüleri (taraklanmış olanlar hariç)
1711.1.19,Diğer pamuk döküntüleri (taraklanmış)
1711.2.01,Pamuk dışındaki doğal elyaflardan tekstil dokuma (özel kumaşlar hariç)
1711.2.02,Pamuklu dokumalar (özel kumaşlar hariç)
1711.2.03,Sentetik ve suni filament dokuma ipliğinden dokumalar
1711.2.04,Sentetik devamsız liflerden dokumalar
1711.2.05,Suni devamsız liflerden dokumalar
1711.2.06,"Battaniye, havlu ve diğer özel kumaşlar"
1712.0.01,Elyaf ve dokuma ipliklerini boyama hizmetleri
1712.0.02,Dokumaların ağartılması
1712.0.03,Dokumaların boyanması
1712.0.04,Dokuma üzerine baskı
1712.0.05,Diğer dokuma apreleme hizmetleri (kaplama ve emdirme hariç)
1712.0.06,Giyim eşyası apreleme hizmetleri
1721.0.01,Battaniyeler v.b. (elektrikli olanlar hariç)
1721.0.02,Yatak örtüleri
1721.0.03,Masa örtüleri
1721.0.04,Tuvalet ve mutfakta kullanılan örtüler
1721.0.05,"Perdeler ve iç storlar, perde ve yatak farbaları"
1721.0.06,"B.y.s. diğer tekstil ev eşyaları; halı, kilim v.b. yapımı için kumaş veya iplikler"
1721.0.07,"Çuval, torba, çanta v.b. (paketleme işinde kullanılanlar)"
1721.0.08,"Yelkenler, vapur veya mavna örtüleri, güneşlikler, tenteler, dış storlar, çadırlar ve kamp malzemeleri"
1721.0.09,"Paraşütler (yönlendirilebilen paraşütler dahil), rotoşütler, bunların aksam ve parçaları"
1721.0.10,Uyku tulumları; yatak malzemeleri
1721.0.11,Diğer hazır eşyalar (elbise patronları dahil)
