Kod,Tanım
32.91.99,Başka yerde sınıflandırılmamış diğer süpürge ve fırçaların imalatı (elektrikli olanlar hariç)
32.99,Başka yerde sınıflandırılmamış diğer imalatlar
32.99.01,"Terzi mankeni, el kalbur ve eleği, yapma çiçek, meyve ve bitkiler, şaka ve sihirbazlık benzeri eşya, koku püskürtücüleri ve mekanizmaları, tabut vb. eşyaların imalatı (gelin çiçeği dahil)"
32.99.02,"Kot vb. baskı düğmeleri, çıtçıtlar, düğmeler, fermuarlar vb. imalatı (düğme formları ve fermuar parçaları dahil)"
32.99.03,"Pipo, sigara ağızlıkları, Oltu veya lüle taşından tespih vb. imalatı"
32.99.04,"Mekanik olsun veya olmasın her çeşit dolma kalem, tükenmez ve kurşun kalem ile boya kalemi, pastel boya imalatı (kalem ucu ve kurşun kalem içleri dahil)"
32.99.05,Koruyucu güvenlik başlıkları ve diğer güvenlik malzemeleri imalatı
32.99.06,"Peruk, takma saç, takma sakal, takma kaş vb. imalatı"
32.99.07,"Şemsiyeler, güneş şemsiyeleri, baston ve koltuklu baston, koltuk değneği vb. imalatı (parçaları dahil)"
32.99.08,"Tarih verme, damga, mühür veya numara verme kaşeleri, numaratör, elle çalışan basım aletleri, kabartma etiketleri, el baskı setleri, hazır daktilo şeritleri ve ıstampaların imalatı"
32.99.09,Koruyucu amaçlı solunum ekipmanları ve gaz maskelerinin imalatı (tedavi edici olanlar hariç)
32.99.10,Ateşe dayanıklı ve koruyucu güvenlik kıyafetleri ve başlıkları ile diğer güvenlik ürünlerinin imalatı (solunum ekipmanları ve gaz maskeleri hariç)
32.99.11,Mantar can simitlerinin imalatı
32.99.13,Termos ve vakumlu kapların imalatı
32.99.15,Suni balmumu ile suni mumların ve müstahzar mumların imalatı
32.99.16,Yazı veya çizim tahtaları imalatı
32.99.17,Sigara çakmakları ve diğer çakmaklar ile çabuk tutuşan (piroforik) alaşımların imalatı (çakmaklar için kap hacmi ≤ 300cm3 sıvı veya sıvılaştırılmış gaz yakıtları dahil)
32.99.18,"Fildişi, kemik, boynuz, sedef gibi hayvansal malzemelerden oyma eşyaların imalatı"
32.99.19,Elektronik sigara imalatı
32.99.99,"Başka yerde sınıflandırılmamış diğer imalatlar (bağırsak (ipek böceği guddesi hariç), kursak ve mesaneden mamul eşyalar dahil, tıbbi amaçlı steril olanlar hariç)"
33,"Makine ve ekipmanların onarımı, bakımı ve kurulumu"
33.1,"Fabrikasyon metal ürünlerin, makinelerin ve ekipmanların onarım ve bakımı"
33.11,Fabrikasyon metal ürünlerin onarım ve bakımı
33.11.01,Metal boru ve boru hatları ile pompa istasyonlarının onarım ve bakımı
33.11.02,Ateşli silahların ve savaş gereçlerinin onarım ve bakımı (spor ve eğlence amaçlı silahların onarımı dahil)
33.11.03,Buhar kazanları veya buhar jeneratörlerinin onarım ve bakımı
33.11.04,Merkezi ısıtma sıcak su kazanları (boyler) ve radyatörlerin onarım ve bakımı
33.11.10,"Metal tankların, rezervuarların ve muhafaza kaplarının (konteynerler dahil) onarımı"
33.11.11,Nükleer reaktörlerin onarım ve bakımı
33.11.99,Başka yerde sınıflandırılmamış metal ürünlerin onarım ve bakımı (balık kafesleri hariç)
33.12,Makinelerin onarım ve bakımı
33.12.02,Tarım ve ormancılık makinelerinin onarım ve bakımı (traktörlerin bakım ve onarımı hariç)
33.12.03,"Motor ve türbinlerin onarım ve bakımı (hidrolik, rüzgar, gaz, su, buhar türbinleri) (gemi ve tekne motorları, motorlu kara taşıtı ve motosiklet motorları hariç)"
33.12.04,"Sanayi fırınlarının, ocaklarının ve ocak brülörlerinin onarım ve bakımı"
33.12.05,Kaldırma ve taşıma ekipmanlarının onarım ve bakımı
33.12.06,Sanayi tipi soğutma ve havalandırma ekipmanlarının onarım ve bakımı
33.12.07,Tartı aletlerinin onarım ve bakımı
33.12.08,"Madencilik, inşaat, petrol ve gaz sahalarında kullanılan makinelerin onarım ve bakımı"
33.12.09,Tarım ve ormancılıkta kullanılan motokültörler ve traktörlerin onarım ve bakımı
33.12.10,"Akışkan gücü ile çalışan ekipmanlar, pompalar, kompresörler ile valflerin ve vanaların onarım ve bakımı (akaryakıt pompalarının tamiri dahil)"
33.12.11,Metal işleme makinelerinin ve takım tezgahlarının onarım ve bakımı (CNC olanlar dahil)
33.12.12,"Motorlu veya pnömatik (hava basınçlı) el aletlerinin onarımı (yuvarlak/vargel/zincir testere, matkap, pnömatik veya motorlu metal kesme makası, darbeli cıvata anahtarı vb.)"
33.12.13,Elektrikli kaynak ve lehim aletlerinin onarım ve bakımı
33.12.14,Metalürji makinelerinin onarım ve bakımı
33.12.15,"Gıda, içecek ve tütün işleme makinelerinin onarım ve bakımı"
33.12.16,"Tekstil, giyim eşyası ve deri üretim makinelerinin onarım ve bakımı (triko makinelerinin onarımı dahil)"
33.12.17,"Kağıt, karton ve mukavva üretiminde kullanılan makinelerin onarım ve bakımı"
33.12.18,"Büro ve muhasebe makinelerinin onarım ve bakımı (daktilo, yazar kasa, fotokopi makineleri, hesap makineleri, vb.)"
33.12.19,"Ağaç, mantar, taş, sert kauçuk veya benzeri sert malzemeleri işlemede kullanılan takım tezgahlarının onarım ve bakımı (CNC olanlar dahil)"
33.12.21,Sıvılar için filtreleme ya da temizleme makineleri ve aparatlarının onarım ve bakımı
33.12.27,"Kesici aletler ile el aletlerinin onarım ve bakımı (matbaa giyotini, şerit testere, el testeresi, çapa, orak vb. bileyleme ve çarkçılık dahil) (motorlu ve pnömatik olanlar hariç)"
33.12.28,Plastik ve kauçuk imalatında ve işlenmesinde kullanılan makinelerin onarım ve bakımı
33.12.29,"Endüstriyel rulmanların, dişlilerin, dişli takımlarının ve tahrik tertibatı elemanlarının onarım ve bakımı"
33.12.30,Tarımsal amaçlı kullanılan römorkların onarım ve bakımı
33.12.99,"Başka yerde sınıflandırılmamış diğer makinelerin onarım ve bakımı (motorlu kara taşıtları, gemiler, tekneler ve uçaklar hariç)"
33.13,Elektronik ve optik ekipmanların onarım ve bakımı
33.13.01,"Ölçme, test ve seyrüsefer alet ve cihazlarının onarım ve bakımı"
33.13.02,"Işınlama, elektromedikal ve elektroterapi ekipmanlarının onarım ve bakımı"
33.13.03,Profesyonel optik aletlerin ve fotoğrafçılık ekipmanlarının onarım ve bakımı (tüketici elektronik ürünlerinin onarımı hariç)
33.13.05,Yüklü elektronik devrelerin/kartların bakımı ve onarımı
33.13.90,Diğer profesyonel elektronik ekipmanların onarım ve bakımı
33.14,Elektrikli ekipmanların onarım ve bakımı
33.14.01,"Güç transformatörleri, dağıtım transformatörleri ve özel transformatörlerin onarım ve bakımı (elektrik dağıtım ve kontrol cihazları dahil)"
33.14.02,"Elektrik motorları, jeneratörler ve motor jeneratör setlerinin onarım ve bakımı (bobinlerin tekrar sarımı dahil)"
33.14.90,Diğer profesyonel elektrikli ekipmanların onarım ve bakımı
33.15,Sivil gemilerin ve teknelerin onarım ve bakımı
33.15.00,"Sivil gemilerin ve teknelerin onarım ve bakımı (yüzen yapılar, sandal, kayık, vb. bakım ve onarımı ile bunların kalafatlanması dahil)"
33.16,Sivil hava taşıtları ve uzay araçlarının onarım ve bakımı
33.16.01,Sivil hava taşıtları ve uzay araçlarının onarım ve bakımı
33.17,Diğer sivil ulaşım ekipmanlarının onarım ve bakımı
33.17.01,Demir yolu lokomotiflerinin ve vagonlarının onarım ve bakımı
33.17.99,Başka yerde sınıflandırılmamış diğer ulaşım ekipmanlarının onarım ve bakımı
33.18,"Askeri savaş araçlarının, gemilerin, teknelerin, hava ve uzay araçlarının onarım ve bakımı"
33.18.01,Askeri kara savaş araçlarının onarım ve bakımı
33.18.02,Askeri hava taşıtlarının ve uzay araçlarının onarım ve bakımı
33.18.03,Askeri savaş gemilerinin ve teknelerin onarım ve bakımı
33.19,Diğer ekipmanların onarım ve bakımı
33.19.01,"Tentelerin, kamp ekipmanlarının, çuvalların ve balıkçılık ağları gibi diğer hazır tekstil malzemelerinin onarımı"
33.19.02,"Halatlar, gemi çarmık ve halatları ile yelken bezleri ve bez astarlı muşambaların onarımı"
33.19.99,"Başka yerde sınıflandırılmamış diğer ekipmanların onarımı (ahşap konteyner, gemi fıçı ve varilleri, madeni para ile çalışan oyun makineleri, değirmentaşı, bileme taşı vs.)"
33.2,Sanayi makine ve ekipmanlarının kurulumu
33.20,Sanayi makine ve ekipmanlarının kurulumu
33.20.36,"Metallerin işlenmesinde, kesilmesinde ve şekillendirilmesinde kullanılan makinelerin kurulum hizmetleri"
33.20.45,"Sanayi tipi ısıtma, iklimlendirme ve soğutma cihaz ve ekipmanlarının kurulumu"
33.20.46,Genel amaçlı makinelerin kurulum hizmetleri
33.20.51,"Elektrikli ekipmanların kurulum hizmetleri (yollar, vb. için elektrikli sinyalizasyon ekipmanları hariç))"
33.20.52,"Fabrikasyon metal ürünlerin kurulum hizmetleri (buhar jeneratörlerinin kurulum hizmetleri ve sanayi tesislerindeki metal boru sistemlerinin kurulumu dahil, merkezi ısıtma sıcak su kazanları (boylerleri) ile makine ve ekipmanlar hariç)"
33.20.53,Endüstriyel işlem kontrol ekipmanlarının kurulum hizmetleri (otomasyon destekliler dahil)
33.20.90,Diğer sanayi makine ve ekipmanlarının kurulumu
D,"ELEKTRİK, GAZ, BUHAR VE İKLİMLENDİRME ÜRETİMİ VE DAĞITIMI"
35,"Elektrik, gaz, buhar ve iklimlendirme sistemi üretim ve dağıtımı"
35.1,"Elektrik enerjisinin üretimi, iletimi ve dağıtımı"
35.11,Yenilenemeyen kaynaklardan elektrik üretimi
35.11.00,Yenilenemeyen kaynaklardan elektrik üretimi
35.12,Yenilenebilir kaynaklardan elektrik üretimi
35.12.00,Yenilenebilir kaynaklardan elektrik üretimi
35.13,Elektrik enerjisinin iletimi
35.13.00,Elektrik enerjisinin iletimi
35.14,Elektrik enerjisinin dağıtımı
35.14.02,Elektrik sayaçlarının bakım ve onarımı
35.14.06,Elektrik enerjisinin dağıtımı (üretim kaynağından veya iletim sisteminden son kullanıcıya iletim sistemiyle taşınan elektrik enerjisi dağıtım sisteminin işletilmesi)
35.15,Elektrik enerjisinin ticareti
35.15.01,Elektrikli araçlar ve elektronik cihazlar için şarj istasyonlarının işletilmesi
35.15.02,Elektrik ticareti
35.16,Elektriğin depolanması
35.16.00,Elektriğin depolanması
35.2,Gaz imalatı ve ana şebeke üzerinden gaz yakıtların dağıtımı
35.21,Gaz imalatı
35.21.01,"Doğalgaz dahil, çeşitli türdeki gazlardan arındırma, karıştırma, vb. işlemlerle kalorifik değerde gazlı yakıtların üretimi"
35.21.02,"Kömürün karbonlaştırılması, tarımsal yan ürün veya atıklarından gaz üretimi"
35.22,Ana şebeke üzerinden gaz yakıtların dağıtımı
35.22.01,"Ana şebeke üzerinden gaz yakıtların dağıtımı (her çeşit gazlı yakıtın, ana boru sistemiyle dağıtımı ve tedariki)"
35.22.02,Gaz sayaçlarının bakım ve onarımı
35.23,Ana şebeke üzerinden gaz ticareti
35.23.01,Ana şebeke üzerinden gaz ticareti (komisyoncular ve acentelerin faaliyetleri hariç)
35.24,Gazın depolanması (şebeke tedarik hizmetlerinin bir parçası olarak)
35.24.00,Gazın depolanması (şebeke tedarik hizmetlerinin bir parçası olarak)
35.3,Buhar ve iklimlendirme temini
35.30,Buhar ve iklimlendirme temini
35.30.21,"Buhar ve sıcak su üretimi, toplanması ve dağıtımı"
35.30.22,Soğutulmuş hava ve soğutulmuş su üretim ve dağıtımı (buz üretimi dahil)
35.4,Elektrik enerjisi ve doğal gaz aracılarının ve komisyoncularının faaliyetleri
35.40,Elektrik enerjisi ve doğal gaz aracılarının ve komisyoncularının faaliyetleri
35.40.00,Elektrik enerjisi ve doğal gaz aracılarının ve komisyoncularının faaliyetleri
E,"SU TEMİNİ; KANALİZASYON, ATIK YÖNETİMİ VE İYİLEŞTİRME FAALİYETLERİ"
36,"Suyun toplanması, arıtılması ve dağıtılması"
36.0,"Suyun toplanması, arıtılması ve dağıtılması"
36.00,"Suyun toplanması, arıtılması ve dağıtılması"
36.00.02,"Suyun toplanması, arıtılması ve dağıtılması"
36.00.03,Su sayaçlarının bakım ve onarımı
37,Kanalizasyon
37.0,Kanalizasyon
37.00,Kanalizasyon
37.00.01,"Kanalizasyon (kanalizasyon atıklarının uzaklaştırılması ve arıtılması, kanalizasyon sistemlerinin ve atık su arıtma tesislerinin işletimi, foseptik çukurların ve havuzların boşaltılması ve temizlenmesi, seyyar tuvalet faaliyetleri vb.)"
38,"Atık toplama, geri kazanım ve bertaraf faaliyetleri"
38.1,Atıkların toplanması
38.11,Tehlikesiz atıkların toplanması
38.11.01,"Tehlikesiz atıkların toplanması (çöpler, geri dönüştürülebilir maddeler, tekstil atıkları, vb.) (inşaat ve yıkım atıkları, çalı, çırpı, moloz gibi enkazlar hariç)"
38.11.02,"İnşaat ve yıkım atıklarının, çalı, çırpı, moloz gibi enkazların toplanması ve kaldırılması"
38.11.03,Tehlikesiz atık transfer istasyonlarının işletilmesi
38.12,Tehlikeli atıkların toplanması
38.12.01,Tehlikeli atıkların toplanması
38.2,Atık geri kazanımı
38.21,Materyallerin geri kazanımı
38.21.02,Gemi ve yüzer yapıların hurdalarının materyallerinin geri kazanımı amacıyla parçalara ayrılması (sökülmesi)
38.21.03,"Hurdaların geri kazanım amacıyla parçalara ayrılması (otomobil, bilgisayar, televizyon vb. donanımlar) (gemiler ve yüzer yapılar ile satmak için kullanılabilir parçalar oluşturmak amacıyla sökme hariç)"
38.21.04,"Tasnif edilmiş metal atıklar, hurdalar ve diğer parçaların genellikle mekanik veya kimyasal değişim işlemleri ile geri kazanılması"
38.21.05,"Tasnif edilmiş metal dışı atıklar, hurdalar ve diğer parçaların genellikle mekanik veya kimyasal değişim işlemleri ile geri kazanılması (plastik atıkların kimyasal işlemlerle geri kazanılması hariç)"
38.22,Enerji geri kazanımı
38.22.00,Enerji geri kazanımı
38.23,Diğer atık geri kazanımı
38.23.00,Diğer atık geri kazanımı
38.3,Geri kazanımsız atık bertarafı
38.31,Enerji geri kazanımı olmaksızın atıkların yakılması
38.31.00,Enerji geri kazanımı olmaksızın atıkların yakılması
38.32,Atıkların düzenli veya kalıcı olarak depolanması
38.32.03,Tehlikesiz atıkların düzenli veya kalıcı olarak depolanması
38.32.04,Tehlikeli atıkların düzenli veya kalıcı olarak depolanması (radyoaktif atıklar hariç)
38.32.05,Radyoaktif atıkların düzenli veya kalıcı olarak depolanması
38.33,Diğer atıkların bertarafı
38.33.00,Diğer atıkların bertarafı
39,İyileştirme faaliyetleri ve diğer atık yönetimi hizmeti faaliyetleri
39.0,İyileştirme faaliyetleri ve diğer atık yönetimi hizmeti faaliyetleri
39.00,İyileştirme faaliyetleri ve diğer atık yönetimi hizmeti faaliyetleri
39.00.01,İyileştirme faaliyetleri ve diğer atık yönetimi hizmetleri
F,İNŞAAT
41,İkamet amaçlı olan ve ikamet amaçlı olmayan binaların inşaatı
41.0,İkamet amaçlı olan ve ikamet amaçlı olmayan binaların inşaatı
41.00,İkamet amaçlı olan ve ikamet amaçlı olmayan binaların inşaatı
41.00.01,İkamet amaçlı binaların inşaatı (ahşap binaların inşaatı hariç)
41.00.02,İkamet amaçlı olmayan binaların inşaatı
41.00.03,Mevcut ikamet amaçlı olan veya ikamet amaçlı olmayan binaların yeniden düzenlenmesi veya yenilenmesi (büyük çaplı revizyon) (tarihi yapıların restorasyonu hariç)
41.00.04,İkamet amaçlı ahşap binaların inşaatı
41.00.05,Prefabrik binalar için bileşenlerin alanda birleştirilmesi ve kurulması
42,Bina dışı yapıların inşaatı
42.1,Kara ve demir yollarının inşaatı
42.11,Kara yolları ve otoyolların inşaatı
42.11.01,"Otoyollar, kara yolları, şehir içi yollar ve diğer araç veya yaya yollarının inşaatı"
42.11.02,"Yol yüzeylerinin asfaltlanması ve onarımı, kaldırım, kasis, bisiklet yolu vb.lerin inşaatı"
42.11.03,Havaalanı pisti inşaatı
42.12,Demir yolları ve metroların inşaatı
42.12.01,Demir yolları ve metroların inşaatı
42.13,Köprüler ve tünellerin inşaatı
42.13.01,Köprülerin inşaatı (yükseltilmiş kara yolları-viyadükler dahil)
42.13.02,Tünel inşaatı
42.2,Hizmet projelerinin inşaatı
42.21,Akışkanlar için hizmet projelerinin inşaatı
42.21.01,Akışkanlar için uzun mesafe boru hatlarının inşaatı (petrol ürünleri ve gaz taşımacılığı ile su ve diğer ürünlerin taşımacılığına yönelik karada ve deniz altında uzun mesafe boru hattı)
42.21.02,"Su kuyusu açma ve septik sistem kurulum faaliyetleri (kuyu, artezyen vb.)"
42.21.03,"Ana su şebekeleri ve su hatları ile su arıtma tesisleri, kanalizasyon bertaraf tesisleri ve pompa istasyonları inşaatı (sulama sistemleri (kanallar) dahil)"
42.21.05,"Akışkanlar için kısa mesafe (yerel) boru hatlarının inşaatı (petrol ürünleri ve gaz taşımacılığı ile su, kanalizasyon, sıcak su, buhar ve diğer ürünlerin taşımacılığına yönelik kısa mesafe boru hattı)"
42.22,Elektrik ve telekomünikasyon için hizmet projelerinin inşaatı
42.22.01,Uzun mesafe elektrik hatlarının inşaatı (uzun mesafe yüksek gerilim elektrik iletim hatları ile uzun mesafe yer üstü/altı veya deniz altı iletim hatları)
42.22.02,"Enerji santralleri inşaatı (hidroelektrik santrali, termik santral, güneş ve rüzgar santrali, nükleer enerji üretim santralleri vb.)"
42.22.04,Kentsel (kısa mesafe) elektrik hatlarının inşaatı (trafo istasyonları ve yerel sınırlar içerisindeki dağıtım alt istasyonları vb.)
42.22.05,Telekomünikasyon şebeke ve ağlarının bakım ve onarımı
42.22.06,Uzun mesafe telekomünikasyon (iletişim) hatlarının inşaatı
42.22.07,Kentsel (kısa mesafe) telekomünikasyon (iletişim) hatlarının inşaatı
42.9,Bina dışı diğer yapılara ait projelerin inşaatı
42.91,Su projeleri inşaatı
42.91.01,"Kıyı ve liman inşaatları ve ilgili hidromekanik yapıların inşaatı (su yolları, kanal vb. dahil)"
42.91.02,"Su ve su zemininin taranması ve temizlenmesi (deniz, nehir, göl vb.)"
42.91.03,"Tersane, dok ve kanal havuzu inşaatı (gemi inşaatı ve tamiri için)"
42.91.04,Baraj ve bentlerin inşaatı
42.99,Başka yerde sınıflandırılmamış bina dışı diğer yapılara ait projelerin inşaatı
42.99.01,Açık havada yapılan sporlara uygun tesislerin ve eğlence alanları yapılarının inşaatı
42.99.02,Madencilik ve imalat sanayisi yapılarının inşaatı
42.99.04,Doğalgaz işleme tesisleri inşaatı
42.99.05,Yüzme havuzlarının inşaatı (prefabrik olanlar hariç)
42.99.99,"Başka yerde sınıflandırılmamış bina dışı diğer yapıların inşaatı (arazi iyileştirilmesi ile birlikte arazinin parsellemesi dahil, iyileştirme yapılmaksızın parselleme hariç)"
43,Özel inşaat faaliyetleri
43.1,Yıkım ve şantiyenin hazırlanması
43.11,Yıkım işleri (binaların ve diğer yapıların yıkılması ve sökülmesi)
43.11.01,Yıkım işleri (binaların ve diğer yapıların yıkılması ve sökülmesi)
43.12,Şantiyenin hazırlanması
43.12.01,"Zemin ve arazi hazırlama, alanın temizlenmesi ile kazı ve hafriyat işleri (madencilik için yapılanlar hariç)"
43.12.02,"Maden sahalarının hazırlanması (tünel açma dahil, petrol ve gaz sahaları için olanlar hariç)"
43.13,Test sondajı ve delme
43.13.01,Test sondajı ve delme (madencilikle bağlantılı olarak gerçekleştirilen test sondajı hariç)
43.2,"Elektrik tesisatı, sıhhi tesisat ve diğer inşaat tesisatı faaliyetleri"
43.21,Elektrik tesisatı
43.21.01,"Bina ve bina dışı yapıların (ulaşım için aydınlatma ve sinyalizasyon sistemleri hariç) elektrik tesisatı, kablolu televizyon ve bilgisayar ağı tesisatı ile konut tipi antenler (uydu antenleri dahil), elektrikli güneş enerjisi kollektörleri, elektrik sayaçları, elektrikli araçlar için elektrikli şarj cihazları tesisatının kurulumu, duvar dibi ısıtma sistemleri, yangın ve hırsızlık alarm sistemleri vb. kurulumu"
43.21.03,"Kara yolları, demir yolları ve diğer raylı yolların, liman ve havaalanlarının aydınlatma ve sinyalizasyon sistemlerinin tesisatı (havaalanı pisti aydınlatmasının tesisatı dahil)"
43.22,"Sıhhi tesisat, ısıtma ve iklimlendirme tesisatı"
43.22.03,Bina ve diğer inşaat projelerinde su ve kanalizasyon tesisatı ve onarımı
43.22.05,Gaz tesisatı faaliyetleri (hastanelerdeki oksijen gazı temini için kurulum işleri dahil)
43.22.06,"Bina veya diğer inşaat projelerinde ısıtma, havalandırma, soğutma ve iklimlendirme sistemlerinin onarım ve bakımı"
43.22.07,"Bina veya diğer inşaat projelerinde ısıtma, havalandırma, soğutma ve iklimlendirme sistemlerinin kurulumu"
43.23,Yalıtım tesisatı
43.23.01,Yalıtım tesisatı (su yalıtımı ile çatıların dış yalıtımı hariç)
43.23.02,Su yalıtımı (çatıların su yalıtımı hariç)
43.24,Diğer inşaat tesisatı
43.24.01,"Asansörlerin, yürüyen merdivenlerin, yürüyen yolların, otomatik ve döner kapıların onarım ve bakımı dahil kurulum işleri"
43.24.02,"Isı, ses veya titreşim yalıtımı ile diğer inşaat tesisatı işleri (mantolama ve vakumlu temizleme sistemlerinin kurulumu dahil)"
43.24.03,Parmaklık ve korkuluk tesisatı işleri (metal yangın merdivenlerinin kurulumu dahil)
43.24.99,Başka yerde sınıflandırılmamış diğer tesisat işleri
43.3,Binanın tamamlanması ve bitirilmesi
43.31,Sıva işleri
43.31.01,Sıva işleri
43.32,Doğrama tesisatı
43.32.01,"Hazır mutfaklar, mutfak tezgahları, gömme dolaplar, iç merdivenler ile ince tahta, lambri ve benzerlerinin montajı işleri"
43.32.02,"Herhangi bir malzemeden yapılan kapı ve pencere kasaları, kapılar (zırhlı kapılar dahil, otomatik ve döner kapılar hariç), pencereler, kepenkler, panjurlar, garaj kapıları ve benzerlerinin montajı"
43.32.03,Seyyar bölme ve metal yapı üzerine asma tavan montaj işleri ile diğer doğrama tesisatı işleri
43.33,Yer ve duvar kaplama
43.33.01,"Bina ve diğer yapıların içi veya dışında yer ve duvar kaplama faaliyetleri (halı, taban muşambası ve kağıt kaplama hariç)"
43.33.99,"Başka yerde sınıflandırılmamış diğer yer döşeme ve kaplama ile duvar kaplama işleri (halı, taban muşambası ve diğer esnek yer kaplamaları ile duvar kaplama işleri)"
43.34,Boya ve cam işleri
43.34.01,Binaların iç ve dış boyama işleri
43.34.02,Cam takma işleri
43.34.03,Bina dışı yapıların boyama işleri
43.35,İnşaatlardaki diğer bütünleyici ve tamamlayıcı işler
43.35.00,İnşaatlardaki diğer bütünleyici ve tamamlayıcı işler
43.4,Binaların inşası alanında özelleşmiş inşaat faaliyetleri
43.41,Çatı işleri
43.41.00,Çatı işleri
43.42,Bina inşaatlarındaki diğer özel inşaat faaliyetleri
43.42.01,Yapısal çelik bileşenlerin kurulması işleri (bina inşaatları için)
43.42.02,Bina inşaatı için kazık çakma ve temel inşaatı işleri (forekazık çakma dahil)
43.42.03,Baca ve sanayi fırınlarının inşaatı ve kurulması (fırınlar için yanma odasına ateş tuğlası döşenmesi işleri dahil)
43.42.99,Bina inşaatlarında başka yerde sınıflandırılmamış diğer inşaat faaliyetleri
43.5,Bina dışı yapılardaki özel inşaat faaliyetleri
43.50,Bina dışı yapılardaki özel inşaat faaliyetleri
43.50.01,Yapısal çelik bileşenlerin kurulması işleri (bina dışı inşaatları için)
43.50.02,Bina dışı yapılar için kazık çakma ve temel inşaatı işleri (forekazık çakma dahil)
43.50.03,Yer altı çalışmaları (su kuyusu açma hariç)
43.50.04,Prefabrik yüzme havuzlarının kurulumu
43.50.05,"Yol yüzeylerin boyayla işaretlenmesi, yol bariyeri, trafik işaret ve levhaları vb.nin kurulumu gibi yol, tünel vb. yerlerdeki yüzey işleri"
43.50.06,"Prefabrik yapıların montajı ve kurulması (prefabrik binalar ve yüzme havuzları hariç her çeşit prefabrik sokak düzeneklerinin (otobüs durağı, telefon kulübesi, bank vb.) kurulumu vb.)"
43.6,Özel inşaat hizmetleri için aracılık hizmeti faaliyetleri
43.60,Özel inşaat hizmetleri için aracılık hizmeti faaliyetleri
43.60.00,Özel inşaat hizmetleri için aracılık hizmeti faaliyetleri
43.9,Diğer özel inşaat faaliyetleri
43.91,"Duvarcılık ve tuğla, briket vb. döşeme faaliyetleri"
43.91.00,"Duvarcılık ve tuğla, briket vb. döşeme faaliyetleri"
43.99,Başka yerde sınıflandırılmamış diğer özel inşaat faaliyetleri
43.99.04,Vinç ve benzeri diğer inşaat ekipmanlarının operatörü ile birlikte kiralanması (özel bir inşaat çeşidinde yer almayan)
43.99.05,İnşaatlarda beton işleri (kalıp içerisine beton dökülmesi vb.)
43.99.07,İnşaat iskelesi ve çalışma platformunu kurma ve sökme işleri
43.99.13,İnşaat demirciliği (inşaat demirinin bükülmesi ve bağlanması)
43.99.99,Başka yerde sınıflandırılmamış diğer uzmanlaşmış inşaat işleri
G,TOPTAN VE PERAKENDE TİCARET
46,Toptan ticaret
46.1,Bir ücret veya sözleşmeye dayalı olarak yapılan toptan ticaret
46.11,"Tarımsal ham maddelerin, canlı hayvanların, tekstil ham maddelerinin ve yarı mamul malların toptan satışı ile ilgili aracıların faaliyetleri"
46.11.01,"Çiçeklerin, bitkilerin, diğer tarımsal hammaddelerin, tekstil hammaddelerinin ve yarı mamul malların bir ücret veya sözleşmeye dayalı olarak toptan satışını yapan aracılar"
46.11.02,Canlı hayvanların bir ücret veya sözleşmeye dayalı olarak toptan satışını yapan aracılar
46.11.90,Diğer malların toptan satışı ile ilgili aracıların faaliyetleri (kürklü müzayedeleri vb.)
46.12,"Yakıtların, maden cevherlerinin, metallerin ve endüstriyel kimyasalların toptan satışı ile ilgili aracıların faaliyetleri"
46.12.01,"Katı, sıvı ve gaz haldeki yakıtların ve ilgili ürünlerin toptan satışı ile ilgili aracıların faaliyetleri (motorlu taşıt yakıtları dahil)"
46.12.02,"Endüstriyel kimyasallar, gübreler ve zirai kimyasal ürünlerin toptan satışı ile ilgili aracıların faaliyetleri"
46.12.03,Birincil formdaki metaller ve metal cevherlerinin toptan satışı ile ilgili aracıların faaliyetleri
46.13,Kereste ve inşaat malzemelerinin toptan satışı ile ilgili aracıların faaliyetleri
46.13.01,İnşaat malzemesi toptan satışı ile ilgili aracıların faaliyetleri (inşaat demiri ve kerestesi hariç)
46.13.02,Kereste ve kereste ürünlerinin toptan satışı ile ilgili aracıların faaliyetleri
46.14,"Makine, sanayi araç ve gereçleri ile deniz ve hava taşıtlarının toptan satışı ile ilgili aracıların faaliyetleri"
46.14.01,"Bilgisayar, yazılım, elektronik ve telekomünikasyon donanımlarının ve diğer büro ekipmanlarının toptan satışı ile ilgili aracıların faaliyetleri"
46.14.02,Tarımsal ekipmalar ile makine ve sanayi ekipmanlarının toptan satışı ile ilgili aracıların faaliyetleri
46.14.03,"Gemilerin, hava taşıtlarının ve diğer taşıma ekipmalanlarının toptan satışı ile ilgili aracıların faaliyetleri"
46.15,"Mobilya, ev eşyaları, hırdavat ve madeni eşyaların toptan satışı ile ilgili aracıların faaliyetleri"
46.15.01,Mobilyaların toptan satışı ile ilgili aracıların faaliyetleri
46.15.02,"Hırdavatçı (nalburiye) eşyalarının, madeni eşyaların ve el aletlerinin toptan satışı ile ilgili aracıların faaliyetleri"
46.15.03,"Radyo, televizyon ve video cihazlarının toptan satışı ile ilgili aracıların faaliyetleri"
46.15.90,Diğer ev eşyalarının toptan satışı ile ilgili aracıların faaliyetleri
46.16,"Tekstil, giysi, kürk, ayakkabı ve deri eşyaların toptan satışı ile ilgili aracıların faaliyetleri"
46.16.01,"Deri giyim eşyası, kürk ve ayakkabının bir ücret veya sözleşmeye dayalı olarak toptan satışını yapan aracılar"
